id_interno,id_manz,od_f,choice,av_car,av_bus,av_motocarro,tt_car,tt_bus,tt_motocarro,exp_pm25_car,exp_pm25_bus,exp_pm25_motocarro,exp_bc_car,exp_bc_bus,exp_bc_motocarro,age_18_30,age_31_45,age_46_55,age_56_70,age_70plus,female,male,trans,mestizo,afrodesc,blanco,indigena,raizal,no_grupo_etnico,str1,str2,str3,income_lvl,disability,student,formaljob,informaljob,selfemply,vueltas,no_education,primaria,secundaria,posgrado,tech,pregrado,own_formalhouse,own_informalhouse,rent_formalhouse,rent_informalhouse,family_home,head_household
R87,M0875810000000000400718,3_5,3,0,1,1,0,0,20,0,0,26.926,0,0,10.32,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
R90,M0875810000000000400723,mean_bus,9,0,1,1,0,90,0,0,59.37,0,0,32.7,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
R92,M0875810000000000400717,mean_bus,9,0,1,1,0,30,0,0,59.37,0,0,32.7,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
R93,M0875810000000000400720,mean_bus,9,0,1,1,0,80,0,0,59.37,0,0,32.7,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
R94,M0875810000000000400756,mean_motocarro,3,0,1,1,0,0,10,0,0,23.66,0,0,7.99,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
R95,M0875810000000000290906,3_5,3,0,1,1,0,0,15,0,0,40.218,0,0,8.547,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
R98,M875810000000000000000,mean_bus,9,0,1,1,0,90,0,0,59.37,0,0,32.7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
R101,M0875810000000000290518,mean_bus,9,0,1,1,0,15,0,0,59.37,0,0,32.7,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
R102,M0875810000000000210911,4_5,3,0,1,1,0,0,15,0,0,54.261,0,0,47.305,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
R103,M0875810000000000290503,1_3,3,0,1,1,0,0,60,0,0,20.753,0,0,3.815,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
